timestep	potential_energy	temperature
87000	-15909.98596	1.207328259e-09
88000	-15909.98596	1.206826852e-09
89000	-15909.98596	1.206325427e-09
90000	-15909.98596	1.205823986e-09
91000	-15909.98596	1.205322527e-09
92000	-15909.98596	1.204821052e-09
93000	-15909.98596	1.204319561e-09
94000	-15909.98596	1.203818055e-09
95000	-15909.98596	1.203316532e-09
96000	-15909.98596	1.202814994e-09
97000	-15909.98596	1.202313442e-09
98000	-15909.98596	1.201811874e-09
99000	-15909.98596	1.201310292e-09
100000	-15909.98596	1.200808696e-09
101000	-15909.98596	1.200307086e-09
102000	-15909.98596	1.199805463e-09
103000	-15909.98596	1.199303826e-09
104000	-15909.98596	1.198802176e-09
105000	-15909.98596	1.198300514e-09
106000	-15909.98596	1.197798839e-09
107000	-15909.98596	1.197297152e-09
108000	-15909.98596	1.196795453e-09
109000	-15909.98596	1.196293742e-09
110000	-15909.98596	1.19579202e-09
111000	-15909.98596	1.195290287e-09
112000	-15909.98596	1.194788544e-09
113000	-15909.98596	1.19428679e-09
114000	-15909.98596	1.193785025e-09
115000	-15909.98596	1.193283251e-09
116000	-15909.98596	1.192781467e-09
117000	-15909.98596	1.192279674e-09
118000	-15909.98596	1.191777872e-09
119000	-15909.98596	1.191276061e-09
120000	-15909.98596	1.190774242e-09
121000	-15909.98596	1.190272414e-09
122000	-15909.98596	1.189770579e-09
123000	-15909.98596	1.189268736e-09
124000	-15909.98596	1.188766885e-09
125000	-15909.98596	1.188265028e-09
126000	-15909.98596	1.187763164e-09
127000	-15909.98596	1.187261293e-09
128000	-15909.98596	1.186759416e-09
129000	-15909.98596	1.186257533e-09
130000	-15909.98596	1.185755644e-09
131000	-15909.98596	1.18525375e-09
132000	-15909.98596	1.184751851e-09
133000	-15909.98596	1.184249946e-09
134000	-15909.98596	1.183748038e-09
135000	-15909.98596	1.183246125e-09
136000	-15909.98596	1.182744208e-09
137000	-15909.98596	1.182242287e-09
138000	-15909.98596	1.181740363e-09
139000	-15909.98596	1.181238436e-09
140000	-15909.98596	1.180736506e-09
141000	-15909.98596	1.180234573e-09
142000	-15909.98596	1.179732638e-09
143000	-15909.98596	1.179230701e-09
144000	-15909.98596	1.178728762e-09
145000	-15909.98596	1.178226821e-09
146000	-15909.98596	1.17772488e-09
147000	-15909.98596	1.177222937e-09
148000	-15909.98596	1.176720994e-09
149000	-15909.98596	1.17621905e-09
150000	-15909.98596	1.175717106e-09
151000	-15909.98596	1.175215162e-09
152000	-15909.98596	1.174713219e-09
153000	-15909.98596	1.174211276e-09
154000	-15909.98596	1.173709334e-09
155000	-15909.98596	1.173207394e-09
156000	-15909.98596	1.172705455e-09
157000	-15909.98596	1.172203517e-09
158000	-15909.98596	1.171701582e-09
159000	-15909.98596	1.171199649e-09
160000	-15909.98596	1.170697719e-09
161000	-15909.98596	1.170195792e-09
162000	-15909.98596	1.169693867e-09
163000	-15909.98596	1.169191947e-09
164000	-15909.98596	1.168690029e-09
165000	-15909.98596	1.168188116e-09
166000	-15909.98596	1.167686207e-09
167000	-15909.98596	1.167184303e-09
168000	-15909.98596	1.166682403e-09
169000	-15909.98596	1.166180508e-09
170000	-15909.98596	1.165678619e-09
171000	-15909.98596	1.165176735e-09
172000	-15909.98596	1.164674857e-09
173000	-15909.98596	1.164172985e-09
174000	-15909.98596	1.163671119e-09
175000	-15909.98596	1.163169261e-09
176000	-15909.98596	1.162667409e-09
177000	-15909.98596	1.162165564e-09
178000	-15909.98596	1.161663727e-09
179000	-15909.98596	1.161161897e-09
180000	-15909.98596	1.160660075e-09
181000	-15909.98596	1.160158262e-09
182000	-15909.98596	1.159656457e-09
183000	-15909.98596	1.159154661e-09
184000	-15909.98597	1.158652874e-09
185000	-15909.98597	1.158151097e-09
186000	-15909.98597	1.157649329e-09
187000	-15909.98597	1.15714757e-09
188000	-15909.98597	1.156645822e-09
189000	-15909.98597	1.156144085e-09
190000	-15909.98597	1.155642358e-09
191000	-15909.98597	1.155140641e-09
192000	-15909.98597	1.154638936e-09
193000	-15909.98597	1.154137243e-09
194000	-15909.98597	1.153635561e-09
195000	-15909.98597	1.153133891e-09
196000	-15909.98597	1.152632234e-09
197000	-15909.98597	1.152130589e-09
198000	-15909.98597	1.151628956e-09
199000	-15909.98597	1.151127337e-09
200000	-15909.98597	1.150625731e-09
201000	-15909.98597	1.150124139e-09
202000	-15909.98597	1.14962256e-09
203000	-15909.98597	1.149120995e-09
204000	-15909.98597	1.148619445e-09
205000	-15909.98597	1.148117909e-09
206000	-15909.98597	1.147616389e-09
207000	-15909.98597	1.147114883e-09
208000	-15909.98597	1.146613393e-09
209000	-15909.98597	1.146111918e-09
210000	-15909.98597	1.145610459e-09
211000	-15909.98597	1.145109017e-09
212000	-15909.98597	1.144607591e-09
213000	-15909.98597	1.144106181e-09
214000	-15909.98597	1.143604789e-09
215000	-15909.98597	1.143103413e-09
216000	-15909.98597	1.142602055e-09
217000	-15909.98597	1.142100715e-09
218000	-15909.98597	1.141599393e-09
219000	-15909.98597	1.141098089e-09
220000	-15909.98597	1.140596804e-09
221000	-15909.98597	1.140095537e-09
222000	-15909.98597	1.139594289e-09
223000	-15909.98597	1.139093061e-09
224000	-15909.98597	1.138591852e-09
225000	-15909.98597	1.138090663e-09
226000	-15909.98597	1.137589494e-09
227000	-15909.98597	1.137088345e-09
228000	-15909.98597	1.136587217e-09
229000	-15909.98597	1.136086109e-09
230000	-15909.98597	1.135585023e-09
231000	-15909.98597	1.135083958e-09
232000	-15909.98597	1.134582914e-09
233000	-15909.98597	1.134081893e-09
234000	-15909.98597	1.133580893e-09
